K,Accuracy,Precision,Recall,F1
1,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
3,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
5,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
7,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
9,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
11,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
13,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
15,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613


