Feature,Importance
Total day charge,0.14098242819324103
Total day minutes,0.13845198952148713
Customer service calls,0.13146727472422529
International plan,0.09642792207053744
Total eve charge,0.06295020898444487
Total eve minutes,0.060988562805441425
Total intl calls,0.04806038895631148
Total intl charge,0.04291863148307651
Total intl minutes,0.041461288434801125
Total night charge,0.03497587644814702
Total night minutes,0.03284552558991479
Total day calls,0.02885523167330219
Account length,0.028616591116931062
Number vmail messages,0.027085534081397803
Total night calls,0.024661127714741472
State,0.023018851211281558
Total eve calls,0.02159800195101688
Voice mail plan,0.014634565039701003
